a,b,c,d,e
汾阳市玉米病虫害综合防治技术,标题,摘要,"在介绍汾阳市病虫害防治策略的基础上,重点介绍了玉米矮花叶病、小地老虎、玉米螟、玉米红蜘蛛的防治措施,以为汾阳市玉米病虫害防治提供参考.",摘要
玉米叶螨的发生与综合防治,标题,摘要,"玉米叶螨又名玉米红蜘蛛,属蜱螨目,叶螨科.常见的有截形叶螨、二斑叶螨和朱砂叶螨3种.俗称火龙,是一种个体小、繁殖速度快、大发生频率比较高的暴发性害螨,被群众称为""不冒烟的农田火灾"".1990～2005年,玉米叶螨在山西省忻州市先后3次大发生(1991、1999、2001年)、2次偏重发生(1997、2005年)、2次中度发生(1995、2000年).玉米被叶螨刺吸为害后,茎叶失绿,籽粒瘪瘦,严重时植株干枯倒伏死亡,造成减产.",摘要
20%克百威玉米种衣剂的研制,标题,摘要,"90年代初新疆即开始在棉花、玉米、小麦等作物上推广应用种衣剂,但在此其间由于气候、种子质量、种衣剂针对性和适应性等方面的原因,相继出现种衣剂影响作物出苗和生长的现象,给种衣剂推广应用带来了极大的负面影响.为此自1997年起,我们根据新疆绿洲农业区域的特殊性,针对玉米苗期主要害虫地老虎进行了玉米种衣剂的研制.",摘要
桦甸市玉米主要虫害综合防治技术,标题,期刊,现代农业科技,期刊
山东省玉米越冬害虫种类及亚洲玉米螟越冬幼虫寄生性天敌调查,标题,期刊,山东农业科学,期刊
玉米地老虎的防治技巧,标题,期刊,吉林农业,期刊
利用超甜玉米诱集水稻螟虫,标题,期刊,湖北农业科学,期刊
玉米制种病虫趋重的原因及防治对策,标题,期刊,中国农村小康科技,期刊
2015年全国玉米重大病虫害发生趋势预报,标题,期刊,种业导刊,期刊
冬种甜玉米病虫害防治,标题,期刊,麦类文摘·种业导报,期刊
玉米大斑病拮抗细菌的分离与筛选,标题,期刊,玉米科学,期刊
山区玉米高产优质栽培技术,标题,期刊,农民致富之友,期刊
玉米病虫害绿色防治技术,标题,期刊,现代农业科技,期刊
玉米主要病虫害防治(下),标题,期刊,河南科技,期刊
黑龙江省高粱种质抗丝黑穗病、靶斑病、高粱蚜和亚洲玉米螟鉴定,标题,期刊,植物遗传资源学报,期刊
性诱剂在河北省玉米主要害虫测报上的应用研究,标题,期刊,河北农业科学,期刊
冬种甜玉米主要病虫害防治,标题,期刊,农村新技术,期刊
博乐市玉米田地老虎发生情况与防治,标题,期刊,农业开发与装备,期刊
浅谈玉米病虫害防治措施,标题,期刊,农民致富之友,期刊
玉米主要病虫害防治方法探索,标题,期刊,农民致富之友,期刊
玉米害螨田间药剂防治试验结果,标题,期刊,甘肃农业科技,期刊
控释尿素在玉米上的应用效果,标题,期刊,农村实用科技信息,期刊
关于加速玉米螟生物防治产业化的初步设想,标题,期刊,吉林农业科学,期刊
亚洲玉米螟,虫害,生活习性,(1)成虫。成虫常在晚上羽化，且有雄虫比雌虫早1～2天羽化的习性。白天多躲藏在杂草丛或麦田、稻田、豆地茂密的作物间，夜晚飞出活动，飞行力强。成虫有趋光性和较强的性诱反应。(2)幼虫。幼虫孵出后有取食卵壳的现象。初孵幼虫行动敏捷，能迅速爬行，遇风吹或被触动，即吐丝下垂，转移到其他部位或扩散到邻近植株。(3)幼虫。具有趋糖、趋触(要求整个体躯尽量保持与植物组织相接触和贴近的特性)、超湿和强趋光等多种特性。,生活习性
玉米,作物,病害,玉米干腐病,病害
玉米,作物,病害,玉米假黑粉病,病害
玉米,作物,病害,玉米疯顶病,病害
亚洲玉米螟,虫害,症状,幼虫孵化后，一部分潜藏在雌穗着生节以上各叶片的叶腋间，取食积存的花粉和叶腋组织，至4龄后蛀茎为害；绝大部分初孵幼虫集中到雌穗顶端的花丝基部取食为害。,症状
玉米褐斑病,病害,症状,褐斑病主要为害叶片和叶鞘，田间症状有整株黄点型和局部褐斑型2种。(1)整株黄点型。一般是整株叶片发病，叶片上出现密集及大小分布较均匀的小黄点，使叶片和植株呈现失绿发黄，密集的小黄点老熟后变成褐色的孢子堆，内有休眠孢子。孢子堆不破裂。(2)局部褐斑型。主要发生在叶鞘、叶主脉上。病斑浅褐色，叶肉组织变为红黄色。主脉发病，病斑红褐色，发病后期，病斑表皮破裂，散出褐色粉末。,症状
玉米大斑病,病害,研究文献,玉米感染不同致病性玉米大斑病菌后SOD活性的动态变化,标题
亚洲玉米螟,病害,研究文献,亚洲玉米螟和桃蛀螟危害对玉米产量损失的影响,标题
玉米丝黑穗病,病害,研究文献,承德市玉米主要病虫害发生种类及其防控对策,标题
玉米纹枯病,病害,研究文献,玉米纹枯病与产量性状的相关及通径分析,标题
玉米大斑病,病害,研究文献,玉米大斑病病斑扩展LOGISTIC模型对比研究,标题
玉米茎腐病,病害,研究文献,玉米茎腐病的发生与防治,标题
玉米茎腐病,病害,研究文献,玉米病虫害综合防治技术初探,标题
玉米茎腐病,病害,研究文献,玉米茎腐病主要致病菌--禾谷镰孢菌的生物学特性研究,标题
玉米大斑病,病害,研究文献,玉米大斑病发病原因及防治方法,标题
玉米灰斑病,病害,研究文献,玉米灰斑病发生原因及防治技术,标题
玉米小斑病,病害,研究文献,玉米小斑病发生规律与综合防治技术,标题
玉米大斑病,病害,研究文献,玉米常见病害的防治措施,标题
玉米矮花叶病,病害,研究文献,玉米矮花叶病的综防措施,标题
玉米大斑病,病害,研究文献,新型高效杀菌剂,标题
玉米大斑病,病害,研究文献,玉米大斑病菌特异性毒素组分分离条件的优化研究,标题
玉米大斑病,病害,研究文献,夏邑玉米大斑病发生原因与防治对策,标题
玉米灰斑病,病害,研究文献,玉米灰斑病及抗性研究,标题
亚洲玉米螟,病害,研究文献,海芋凝集素对几种鳞翅目昆虫的毒杀活性,标题
玉米丝黑穗病,病害,研究文献,玉米主要病害的防治,标题
玉米蚜,虫害,研究文献,抗虫、耐除草剂转基因水稻对非靶标害虫玉米蚜取食行为影响的评价,标题
玉米茎腐病,病害,研究文献,玉米茎腐病的综合防治措施,标题
玉米蚜,虫害,研究文献,核桃皮提取物对玉米蚜的触杀活性,标题
玉米纹枯病,病害,研究文献,重庆市大春主要粮食作物中后期病虫害重于上年,标题
玉米锈病,病害,研究文献,南方玉米锈病的发生及防治方法,标题
玉米丝黑穗病,病害,研究文献,玉米几种主要病害的防治方法,标题
玉米灰斑病,病害,研究文献,玉米灰斑病抗病性研究进展,标题
亚洲玉米螟,虫害,研究文献,利用黑光灯和性诱剂对玉米田三种主要害虫的诱集效果初探,标题
玉米粗缩病,病害,研究文献,玉米粗缩病与褐斑病的发生与防治,标题
玉米灰斑病,病害,研究文献,玉米灰斑病发生危害及GPS监测,标题
玉米茎腐病,病害,研究文献,河南省玉米茎腐病病原菌分离与致病性测定,标题
玉米茎腐病,病害,研究文献,玉米茎腐病的发生危害及防治对策,标题
玉米大斑病,病害,研究文献,玉米种质对玉米大斑病的抗性鉴定与评价,标题
玉米大斑病,病害,研究文献,玉米大斑病发生趋势预测技术研究,标题
亚洲玉米螟,病害,研究文献,玉米灌浆期3种鳞翅目害虫的空间分布,标题
玉米蚜,虫害,研究文献,玉米病虫害防治技术,标题
玉米弯孢霉叶斑病,病害,研究文献,玉米弯孢霉叶斑病综合防治技术,标题
玉米大斑病,病害,研究文献,玉米抗大斑病相关基因片段的表达研究,标题
玉米粗缩病,病害,研究文献,化学药剂对玉米郑单958粗缩病的防效研究,标题
玉米大斑病,病害,研究文献,玉米病虫害的发生与防治,标题
玉米矮花叶病,病害,研究文献,玉米常见病虫害的防控措施,标题
玉米茎腐病,病害,研究文献,玉米对镰刀菌茎腐病抗性的生化反应,标题
亚洲玉米螟,病害,研究文献,常见玉米病虫害防治技术,标题
玉米丝黑穗病,病害,研究文献,鲜食甜糯玉米新品种佳糯668,标题
玉米纹枯病,病害,研究文献,玉米纹枯病发生特点与防治技术,标题
玉米小斑病,病害,研究文献,2株内生放线菌在玉米植株内的定殖及防病作用研究,标题
玉米茎腐病,病害,研究文献,玉米茎腐病病原菌检测方法研究,标题
玉米大斑病,病害,研究文献,玉米常见病虫害的发病症状与防治措施,标题
玉米丝黑穗病,病害,研究文献,玉米病虫害发生规律,标题
玉米茎腐病,病害,研究文献,浅谈当前玉米茎腐病的发生为害与防治对策,标题
玉米茎腐病,病害,研究文献,浅谈当前玉米茎腐病的发生危害与防治对策,标题
玉米纹枯病,病害,研究文献,湖南省2013年主要农作物重大病虫发生趋势(下),标题
玉米灰斑病,病害,研究文献,丹东地区玉米灰斑病的发生与防治,标题
亚洲玉米螟,虫害,研究文献,京科968花丝抗螟性评价及其抗性机制研究,标题
玉米大斑病,病害,研究文献,玉米大小斑病发病程度的分级标准,标题
玉米灰斑病,病害,研究文献,玉米灰斑病发生规律及防治对策初探,标题
玉米纹枯病,病害,研究文献,玉米纹枯病与褐斑病的防治对策,标题
玉米大斑病,病害,研究文献,神农架玉米大斑病暴发原因及防治对策,标题
玉米纹枯病,病害,研究文献,井冈霉素A与棘孢木霉联合使用可以显著提高对玉米纹枯病的防治效果,标题
玉米大斑病,病害,研究文献,玉米大斑病的研究进展及防治措施,标题
玉米大斑病,病害,研究文献,玉米大斑病流行原因及防治措施,标题
玉米黄呆蓟马,虫害,研究文献,126种植物精油或精油主要成分对玉米黄呆蓟马的熏杀活性筛选,标题
玉米灰斑病,病害,研究文献,玉米灰斑病抗性反应中酚类物质代谢作用的研究,标题
玉米疯顶病,病害,研究文献,玉米疯顶病的发生于综合防治,标题
亚洲玉米螟,虫害,研究文献,东北玉米种植区主要害虫种类及为害情况分析,标题
玉米纹枯病,病害,研究文献,玉米纹枯病周期性脉冲Logistic模型研究,标题
玉米大斑病,病害,研究文献,广州地区甜玉米大斑病发生的初步调查,标题
玉米弯孢霉叶斑病,病害,研究文献,襄城县2007年玉米弯孢霉叶斑病的发生特点与防治对策,标题
玉米蚜,虫害,研究文献,龟纹瓢虫成虫对玉米蚜捕食作用研究,标题
玉米大斑病,病害,研究文献,几种药剂防治玉米大斑病的田间药效试验,标题
亚洲玉米螟,病害,研究文献,山东省玉米越冬害虫种类及亚洲玉米螟越冬幼虫寄生性天敌调查,标题
玉米蚜,虫害,研究文献,玉米品种抗蚜性鉴定评价方法与标准研究,标题
玉米圆斑病,病害,研究文献,重庆地区玉米圆斑病菌(BipolariscarbonumWilson)的分离鉴定,标题
玉米大斑病,病害,研究文献,玉米大斑病的发生规律与绿色防控,标题
玉米茎腐病,病害,研究文献,植物缺乏营养的症状,标题
玉米粗缩病,病害,研究文献,防治玉米粗缩病和矮花叶病,标题
玉米纹枯病,病害,研究文献,2001年湖北省农作物病虫发生长期预报,标题
玉米小斑病,病害,研究文献,玉米小斑病发生前期化学防治初步研究,标题
玉米大斑病,病害,研究文献,防治玉米大斑病药剂筛选试验,标题
玉米蚜,虫害,研究文献,玉米主要病虫害综合防治技术,标题
玉米蚜,虫害,研究文献,玉米蚜的综合防治,标题
玉米茎腐病,病害,研究文献,不同化学杀菌剂对玉米茎腐病菌的抑制活性测定,标题
玉米纹枯病,病害,研究文献,玉米纹枯病发生规律与治理对策研究,标题
玉米大斑病,病害,研究文献,玉米病虫害综合防治技术,标题
玉米大斑病,病害,研究文献,玉米大斑病的发生与防治技术分析,标题
亚洲玉米螟,病害,研究文献,利用生命表技术评价玉米品种‘京科968’及其亲本的抗螟性,标题
玉米细菌性茎腐病,病害,研究文献,玉米细菌性茎腐病的发生与防治,标题
玉米灰斑病,病害,研究文献,盐津县玉米主要病虫害发生特点及防治措施,标题
玉米丝黑穗病,病害,研究文献,沈阳地区玉米病害发生原因及防治措施,标题
玉米大斑病,病害,研究文献,如何防治玉米丝黑穗病,标题
玉米矮花叶病,病害,研究文献,一个引起玉米矮花叶病的甘蔗花叶病毒基因组全序列测定及其结构分析,标题
玉米灰斑病,病害,研究文献,商洛市玉米灰斑病发生规律调查研究初报,标题
玉米大斑病,病害,研究文献,玉米斑病综合防治技术,标题
玉米锈病,病害,研究文献,玉米锈病防治药剂筛选试验,标题
玉米小斑病,病害,研究文献,舟曲县玉米大小斑病的发生与综合防治,标题
亚洲玉米螟,虫害,研究文献,我国玉米主产区亚洲玉米螟越冬幼虫天敌调查,标题
玉米纹枯病,病害,研究文献,玉米纹枯病发生及综合防治,标题
玉米丝黑穗病,病害,研究文献,玉米丝黑穗病及其防治,标题
玉米圆斑病,病害,研究文献,几种玉米新病害的识别与防治,标题
玉米纹枯病,病害,研究文献,玉米主要病虫害综合防治要点,标题
玉米茎腐病,病害,研究文献,玉米青枯病的发病原因与综合防治,标题
玉米大斑病,病害,研究文献,我国玉米大斑病生理小种动态与抗玉米大斑病材料筛选,标题
玉米灰斑病,病害,研究文献,玉米灰斑病的发生及防治,标题
亚洲玉米螟,病害,研究文献,3种绿色防控技术对亚洲玉米螟田间防效的测定,标题
玉米纹枯病,病害,研究文献,大足区玉米纹枯病发生规律及防治技术探讨,标题
玉米纹枯病,病害,研究文献,玉米苯丙氨酸解氨酶家族基因的鉴定与纹枯病的抗病分析,标题
玉米丝黑穗病,病害,研究文献,盐津县玉米主要病虫害发生特点及防治措施,标题
玉米大斑病,病害,研究文献,山西省不同地区玉米大斑病之间生物学特性的比较,标题
玉米大斑病,病害,研究文献,玉米大斑病防治技术,标题
亚洲玉米螟,病害,研究文献,玉米高产杂交种综合抗性评价,标题
玉米大斑病,病害,研究文献,沈阳地区玉米病害发生原因及防治措施,标题
玉米蚜,虫害,研究文献,玉米蚜的识别与防治,标题
玉米大斑病,病害,研究文献,玉米生长期的病虫害防治,标题
亚洲玉米螟,虫害,研究文献,玉米高产杂交种综合抗性评价,标题
玉米丝黑穗病,病害,研究文献,玉米主要病害发生情况调查,标题
玉米大斑病,病害,研究文献,黑龙江省第三积温带玉米种植新区不同品种对大斑病抗性的评价,标题
玉米茎腐病,病害,研究文献,玉米茎基腐病的发生及其防治,标题
玉米纹枯病,病害,研究文献,筛选和利用海洋细菌防治玉米纹枯病试验,标题
玉米疯顶病,病害,研究文献,嵩县玉米疯顶病的发生与防治,标题
玉米锈病,病害,研究文献,2017年商丘市玉米锈病重发原因及防治措施,标题
玉米纹枯病,病害,研究文献,玉米主要病虫综合治理配套技术推广应用及效果,标题
玉米纹枯病,病害,研究文献,湖南省2013年主要农作物重大病虫发生趋势,标题
玉米粗缩病,病害,研究文献,玉米病虫草害的防治,标题
玉米蚜,虫害,研究文献,玉米蚜生物学特性与暴发关系研究及防治措施,标题
玉米小斑病,病害,研究文献,玉米小斑病的防治技术,标题
玉米灰斑病,病害,研究文献,永胜县玉米灰斑病的发生与防治,标题
玉米茎腐病,病害,研究文献,浅析玉米茎腐病的发生与防治,标题
玉米大斑病,病害,研究文献,25%已唑·嘧菌酯悬浮剂防治玉米大斑病试验研究,标题
玉米大斑病,病害,研究文献,玉米几种常见病害及防治技术,标题
玉米茎腐病,病害,研究文献,玉米茎腐病研究进展,标题
玉米灰斑病,病害,研究文献,一种新的玉米灰斑病在我国局部地区发生,标题
玉米大斑病,病害,研究文献,玉米病害的调查报告,标题
玉米大斑病,病害,研究文献,吉林省开展重大病虫航化作业推进农药减量控害,标题
玉米大斑病,病害,研究文献,玉米大斑病的发病原因分析及防治对策,标题
玉米大斑病,病害,研究文献,甜玉米主要病虫害防治技术,标题
玉米茎腐病,病害,研究文献,玉米茎腐病防治技术,标题
玉米灰斑病,病害,研究文献,几种玉米病害的防治,标题
玉米细菌性茎腐病,病害,研究文献,玉米细菌性茎腐病综合防治技术,标题
玉米锈病,病害,研究文献,玉米锈病在三亚南繁育种基地的发生现状及原因分析,标题
玉米大斑病,病害,研究文献,黑龙江省玉米大斑病菌小种生理分化的研究,标题
玉米弯孢霉叶斑病,病害,简介,玉米弯孢菌叶斑病在主要玉米产区普遍发生，是玉米的重要病害。,简介
玉米干腐病,病害,简介,玉米干腐病是玉米重要病害之一，东北发生重，江苏、安徽、四川、广东、云南、贵州、湖南、湖北、浙江等省都有发生。有些地区方病株率达3％～4％，病穗率更高。玉米受害以后，除导致穗腐以外，病株多折断倒伏，引起减产。,简介
玉米纹枯病,病害,简介,玉米纹枯病是一种土传病害，在世界各玉米产区普遍发生，在我中南方夏玉米区发病较为严重。一般田块发病率为10％～30％，重病田达50％以上，甚至100％。随着玉米种子面积的迅速扩大和高产栽培技术的推广，纹枯病发展蔓延迅速，已成为制约玉米持续增产的主要障碍。,简介
延边玉米截形叶螨与二斑叶螨的危害及防治,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=hbnykx201515021,网址
会泽县大桥乡玉米病虫害防治措施探讨,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=njjzy201805141,网址
亚洲玉米螟幼虫体内酚氧化酶原cDNA片段的克隆,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=njnydxxb200403032,网址
玉米金针虫的特征、习性、危害及防治技术,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=ncsykjxx201105035,网址
四川丘陵及山地玉米常见病虫害的发生、危害与防治,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=nykjyxx201419008,网址
玉米病虫害综合防治技术,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=672005048,网址
制种玉米主要病虫害防治技术,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=ahny200923125,网址
甜玉米玉米螟的发生危害与防治措施,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=zwbhxb200203002,网址
松毛虫赤眼蜂对玉米后期钻蛀性害虫的田间防治效果及其原因分析,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=sxnykx201803009,网址
玉米叶螨的发生与防治,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=667675371,网址
几种低毒杀虫剂对甜玉米斜纹夜蛾和毒蛾的防效评价,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=gdnykx201006048,网址
LED单波长杀虫灯对玉米—大豆套作共生期主要昆虫的诱杀效果,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=zbjsytg201802010,网址
博乐市玉米田地老虎发生情况与防治,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=njjzy201512115,网址
性诱剂对甜玉米斜纹夜蛾的防效对比示范试验,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=gxzb2009z1032,网址
二斑叶螨在5个玉米品种上的种群参数特征与分析,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=ymkx201602027,网址
玉米病虫害综合防治措施,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=664428113,网址
河西走廊玉米制种田害螨种类调查研究,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=zgyywz201402111,网址
玉米叶螨的综合防治,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=xckj201616017,网址
玉米田三种昆虫发育速率与温度曲线拟合,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=sdnydxxb201901028,网址
草地贪夜蛾形态特征及与3种玉米田为害特征和形态相近鳞翅目昆虫的比较,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=zwbh201902003,网址
玉米病虫害发生规律及防治技术,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=zgzy201202032,网址
玉米弯刺黑蝽de发生与防治,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=scnykj200703044,网址
夏玉米田害虫的群落结构,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=jsnyxb201302011,网址
20%克百威玉米种衣剂的研制,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=xjnykx200104018,网址
玉米苗期病虫害的综合防治措施,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=xiandny201407033,网址
玉米主要病虫害防治技术,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=nmzfzy201305049,网址
RAPD方法用于亚洲玉米螟地理种群分化的研究,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=kcxb200001017,网址
玉米病虫害防治技术,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=kjzfxd-kxyzb201207289,网址
玉米穗虫的发生与防治,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=ncxjs201604014,网址
不同玉米品种的抗螟性评价,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=ahnykx200802102,网址
玉米主要虫害防治技术初探,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=njcm-zy201409020,网址
玉米病虫害防治技术,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=njcm-zy201305037,网址
简述汾阳市玉米病虫害综合防治技术,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=xinnc201612059,网址
玉米病虫害综合防治技术,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=xinnc201406093,网址
玉米叶螨的发生与防治,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=673468949,网址
玉米病虫害的综合防治,标题,网址,http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=672005055,网址
玉米,作物,虫害,截形叶螨,虫害
玉米,作物,虫害,黍蚜,虫害
玉米,作物,虫害,稀点雪灯蛾,虫害
玉米,作物,虫害,玉米铁甲,虫害
玉米,作物,虫害,粟穗螟,虫害
玉米铁甲,虫害,防治方法,(1)农业防治。成虫高峰期且尚未大量产卵之前，利用其早晨、傍晚、阴天活动迟缓的习性进行人工捕捉，每天上午9时前、下午4时后，阴天全天，用玻璃瓶、塑料瓶、竹筒或其他容器，盛放一些煤油或石灰粉，捕虫丢入其中在玉米铁甲虫幼虫开始化蛹时，而成虫羽化前，用镰刀割下带有幼虫、蛹的叶片，保留绿色健叶，将割下的带虫叶片集中烧毁既减轻当代为害程度，又可减少翌年虫源基数。(2)药剂防治。产卵盛期及幼虫初孵化时，喷洒90%晶体敌百虫800倍液或50%敌敌畏乳油1500倍液,防治方法
玉米大斑病,病害,防治方法,(1)农业防治：选用抗病品种。玉米秸秆不要堆放田头。轮作倒茬，避免重茬。适当早播，培育壮苗，注意肥水管理，氮磷搭配使用。早期摘除下部病叶。玉米收获以后，彻底清除田内外病残组织。(2)化学防治：在心叶末期到抽雄期或发病初期喷药防治。药剂选用5%百菌清可湿性粉剂300倍液，或80%速克净可湿性粉剂1000倍液，或50%多菌灵可湿性粉剂500倍液，或50%甲基硫菌灵可湿性粉剂600倍液，或75%达科宁可湿性粉剂500倍液，或25%苯菌灵乳油800倍液，或40%克瘟散乳油800～1000倍液，或0.5%施特灵水剂2500倍，或20%草酸青霉水剂稀释50倍液。每隔10天防1次，连续防治2～3次。,防治方法
